					DEC	HEX			Var Name
1	ART1	Warehouse In	O	Motor +	0	0	Wi1		Wi1_O_0
1	ART1	Warehouse In	O	Motor -	1	1	Wi1		Wi1_O_1
1	ART1	Warehouse In	O	Warehouse In	2	2	Wi1		Wi1_O_2
1	ART1	Warehouse In	I	Sensor 0	0	0	Wi1		Wi1_I_0
2	ART2	Warehouse Out	O	Motor +	3	3	Wo1		Wo1_O_3
2	ART2	Warehouse Out	O	Motor -	4	4	Wo1		Wo1_O_4
2	ART2	Warehouse Out	I	Sensor 0	1	1	Wo1		Wo1_I_1
2	ART2	Warehouse Out	R	Warehouse Out	0	0	Wo1		Wo1_R_0
3	ART3	Conveyor	O	Motor +	5	5	L7		L7_O_5
3	ART3	Conveyor	O	Motor -	6	6	L7		L7_O_6
3	ART3	Conveyor	I	Sensor 0	2	2	L7		L7_I_2
4	ART4	Rotator	O	Motor +	7	7	R3		R3_O_7
4	ART4	Rotator	O	Motor -	8	8	R3		R3_O_8
4	ART4	Rotator	O	Rotate -	9	9	R3		R3_O_9
4	ART4	Rotator	O	Rotate +	10	A	R3		R3_O_10
4	ART4	Rotator	I	Sensor 0	3	3	R3		R3_I_3
4	ART4	Rotator	I	Rotate - Sensor	4	4	R3		R3_I_4
4	ART4	Rotator	I	Rotate + Sensor	5	5	R3		R3_I_5
5	CR0T1	Rotator	O	Motor +	11	B	R5		R5_O_11
5	CR0T1	Rotator	O	Motor -	12	C	R5		R5_O_12
5	CR0T1	Rotator	O	Rotate -	13	D	R5		R5_O_13
5	CR0T1	Rotator	O	Rotate +	14	E	R5		R5_O_14
5	CR0T1	Rotator	I	Sensor 0	6	6	R5		R5_I_6
5	CR0T1	Rotator	I	Rotate - Sensor	7	7	R5		R5_I_7
5	CR0T1	Rotator	I	Rotate + Sensor	8	8	R5		R5_I_8
6	CR0T2	Rotator	O	Motor +	15	F	R9		R9_O_15
6	CR0T2	Rotator	O	Motor -	16	10	R9		R9_O_16
6	CR0T2	Rotator	O	Rotate -	17	11	R9		R9_O_17
6	CR0T2	Rotator	O	Rotate +	18	12	R9		R9_O_18
6	CR0T2	Rotator	I	Sensor 0	9	9	R9		R9_I_9
6	CR0T2	Rotator	I	Rotate - Sensor	10	A	R9		R9_I_10
6	CR0T2	Rotator	I	Rotate + Sensor	11	B	R9		R9_I_11
7	CR0T3	Rotator	O	Motor +	19	13	R8		R8_O_19
7	CR0T3	Rotator	O	Motor -	20	14	R8		R8_O_20
7	CR0T3	Rotator	O	Rotate -	21	15	R8		R8_O_21
7	CR0T3	Rotator	O	Rotate +	22	16	R8		R8_O_22
7	CR0T3	Rotator	I	Sensor 0	12	C	R8		R8_I_12
7	CR0T3	Rotator	I	Rotate - Sensor	13	D	R8		R8_I_13
7	CR0T3	Rotator	I	Rotate + Sensor	14	E	R8		R8_I_14
8	CR0T4	Rotator	O	Motor +	23	17	R7		R7_O_23
8	CR0T4	Rotator	O	Motor -	24	18	R7		R7_O_24
8	CR0T4	Rotator	O	Rotate -	25	19	R7		R7_O_25
8	CR0T4	Rotator	O	Rotate +	26	1A	R7		R7_O_26
8	CR0T4	Rotator	I	Sensor 0	15	F	R7		R7_I_15
8	CR0T4	Rotator	I	Rotate - Sensor	16	10	R7		R7_I_16
8	CR0T4	Rotator	I	Rotate + Sensor	17	11	R7		R7_I_17
9	CR0T5	Rotator	O	Motor +	27	1B	R6		R6_O_27
9	CR0T5	Rotator	O	Motor -	28	1C	R6		R6_O_28
9	CR0T5	Rotator	O	Rotate -	29	1D	R6		R6_O_29
9	CR0T5	Rotator	O	Rotate +	30	1E	R6		R6_O_30
9	CR0T5	Rotator	I	Sensor 0	18	12	R6		R6_I_18
9	CR0T5	Rotator	I	Rotate - Sensor	19	13	R6		R6_I_19
9	CR0T5	Rotator	I	Rotate + Sensor	20	14	R6		R6_I_20
10	CR0T6	Rotator	O	Motor +	31	1F	R2		R2_O_31
10	CR0T6	Rotator	O	Motor -	32	20	R2		R2_O_32
10	CR0T6	Rotator	O	Rotate -	33	21	R2		R2_O_33
10	CR0T6	Rotator	O	Rotate +	34	22	R2		R2_O_34
10	CR0T6	Rotator	I	Sensor 0	21	15	R2		R2_I_21
10	CR0T6	Rotator	I	Rotate - Sensor	22	16	R2		R2_I_22
10	CR0T6	Rotator	I	Rotate + Sensor	23	17	R2		R2_I_23
11	CR1T0	Conveyor	O	Motor +	35	23	L4		L4_O_35
11	CR1T0	Conveyor	O	Motor -	36	24	L4		L4_O_36
11	CR1T0	Conveyor	I	Sensor 0	24	18	L4		L4_I_24
12	CR1T1	Machine	O	Motor +	37	25	M4		M4_O_37
12	CR1T1	Machine	O	Motor -	38	26	M4		M4_O_38
12	CR1T1	Machine	O	Rotate -	39	27	M4		M4_O_39
12	CR1T1	Machine	O	Rotate +	40	28	M4		M4_O_40
12	CR1T1	Machine	O	Tool	41	29	M4		M4_O_41
12	CR1T1	Machine	O	X -	42	2A	M4		M4_O_42
12	CR1T1	Machine	O	X +	43	2B	M4		M4_O_43
12	CR1T1	Machine	O	Z +	44	2C	M4		M4_O_44
12	CR1T1	Machine	O	Z -	45	2D	M4		M4_O_45
12	CR1T1	Machine	I	Sensor 0	25	19	M4		M4_I_25
12	CR1T1	Machine	I	Tool Sensor	26	1A	M4		M4_I_26
12	CR1T1	Machine	I	X + Sensor	27	1B	M4		M4_I_27
12	CR1T1	Machine	I	X - Sensor	28	1C	M4		M4_I_28
12	CR1T1	Machine	I	Z + Sensor	29	1D	M4		M4_I_29
12	CR1T1	Machine	I	Z - Sensor	30	1E	M4		M4_I_30
13	CR1T2	Machine	O	Motor +	46	2E	M3		M3_O_46
13	CR1T2	Machine	O	Motor -	47	2F	M3		M3_O_47
13	CR1T2	Machine	O	Rotate -	48	30	M3		M3_O_48
13	CR1T2	Machine	O	Rotate +	49	31	M3		M3_O_49
13	CR1T2	Machine	O	Tool	50	32	M3		M3_O_50
13	CR1T2	Machine	O	X -	51	33	M3		M3_O_51
13	CR1T2	Machine	O	X +	52	34	M3		M3_O_52
13	CR1T2	Machine	O	Z +	53	35	M3		M3_O_53
13	CR1T2	Machine	O	Z -	54	36	M3		M3_O_54
13	CR1T2	Machine	I	Sensor 0	31	1F	M3		M3_I_31
13	CR1T2	Machine	I	Tool Sensor	32	20	M3		M3_I_32
13	CR1T2	Machine	I	X + Sensor	33	21	M3		M3_I_33
13	CR1T2	Machine	I	X - Sensor	34	22	M3		M3_I_34
13	CR1T2	Machine	I	Z + Sensor	35	23	M3		M3_I_35
13	CR1T2	Machine	I	Z - Sensor	36	24	M3		M3_I_36
14	CR1T3	Machine	O	Motor +	55	37	M2		M2_O_55
14	CR1T3	Machine	O	Motor -	56	38	M2		M2_O_56
14	CR1T3	Machine	O	Rotate -	57	39	M2		M2_O_57
14	CR1T3	Machine	O	Rotate +	58	3A	M2		M2_O_58
14	CR1T3	Machine	O	Tool	59	3B	M2		M2_O_59
14	CR1T3	Machine	O	X -	60	3C	M2		M2_O_60
14	CR1T3	Machine	O	X +	61	3D	M2		M2_O_61
